,tconst,title,runtime_minutes,genres,averagerating,numvotes,release_date,studio,domestic_gross,foreign_gross
366,tt0947810,Green Zone,115.0,"Action,Drama,Thriller",6.8,122132.0,2010-03-11,Uni.,35100000.0,59800000
367,tt0948470,The Amazing Spider-Man,136.0,"Action,Adventure,Sci-Fi",7.0,525632.0,2012-07-04,Sony,262000000.0,495900000
368,tt0954947,The Killer Inside Me,109.0,"Crime,Drama,Horror",6.1,31727.0,2010-04-27,IFC,217000.0,3800000
369,tt0955308,Robin Hood,140.0,"Action,Adventure,Drama",6.6,239480.0,2010-05-14,Uni.,105300000.0,216400000
385,tt0963966,The Sorcerer's Apprentice,109.0,"Action,Adventure,Family",6.1,143862.0,2010-07-13,BV,63200000.0,152100000
386,tt0964517,The Fighter,116.0,"Biography,Drama,Sport",7.8,316539.0,2010-12-17,Par.,93600000.0,35600000
387,tt0968264,The Conspirator,122.0,"Crime,Drama,History",6.9,26416.0,2011-04-15,RAtt.,11500000.0,3900000
390,tt0970179,Hugo,126.0,"Adventure,Drama,Family",7.5,284869.0,2011-11-23,Par.,73900000.0,111900000
392,tt0970866,Little Fockers,98.0,"Comedy,Romance",5.5,99222.0,2010-12-21,Uni.,148400000.0,162200000
395,tt0974015,Justice League,120.0,"Action,Adventure,Fantasy",6.5,329135.0,2017-11-17,WB,229000000.0,428900000
397,tt0975645,Hitchcock,98.0,"Biography,Comedy,Drama",6.8,68315.0,2012-11-23,FoxS,6000000.0,17600000
399,tt0978764,Sucker Punch,110.0,"Action,Adventure,Fantasy",6.1,218371.0,2011-03-25,WB,36400000.0,53400000
401,tt0980970,The Chronicles of Narnia: The Voyage of the Dawn Treader,113.0,"Adventure,Family,Fantasy",6.3,129663.0,2010-12-10,Fox,104400000.0,311300000
406,tt0983193,The Adventures of Tintin,107.0,"Action,Adventure,Animation",7.3,202430.0,2011-12-20,Par.,77600000.0,296400000
409,tt0985694,Machete,105.0,"Action,Crime,Thriller",6.6,182320.0,2010-09-03,Fox,26600000.0,17500000
410,tt0989757,Dear John,108.0,"Drama,Romance,War",6.3,128657.0,2010-02-04,SGem,80000000.0,35000000
415,tt0990407,The Green Hornet,119.0,"Action,Comedy,Crime",5.8,148622.0,2011-01-13,Sony,98800000.0,129000000
416,tt0993842,Hanna,111.0,"Action,Drama,Thriller",6.8,179178.0,2011-04-08,Focus,40300000.0,23500000
417,tt0993846,The Wolf of Wall Street,180.0,"Biography,Crime,Drama",8.2,1035358.0,2013-12-25,Par.,116900000.0,275100000
458,tt1001526,Megamind,95.0,"Action,Animation,Comedy",7.3,207488.0,2010-11-04,P/DW,148400000.0,173500000
473,tt1245534,Snatched,81.0,Comedy,5.5,61.0,2011-01-01,Fox,45900000.0,15000000
480,tt1007029,The Iron Lady,105.0,"Biography,Drama",6.4,96066.0,2011-12-30,Wein.,30000000.0,84900000
481,tt10075374,The Little Prince,93.0,Action,8.3,6.0,2016-08-05,EOne,1300000.0,96200000
486,tt1686470,Inferno,100.0,Thriller,6.3,50.0,2016-10-28,Sony,34300000.0,185700000
509,tt1013860,Dylan Dog: Dead of Night,107.0,"Action,Comedy,Crime",5.1,14120.0,2011-11-01,OMNI/FSR,1200000.0,3400000
514,tt1014763,Child 44,137.0,"Crime,Drama,History",6.5,59477.0,2015-04-17,LG/S,1200000.0,11700000
527,tt1017451,The Runaways,106.0,"Biography,Drama,Music",6.6,43792.0,2010-03-19,App.,3600000.0,1100000
530,tt1361835,The Silence,118.0,"Crime,Drama,Thriller",7.0,5792.0,2013-03-07,MBox,100000.0,132000
555,tt1020072,Selma,128.0,"Biography,Drama,History",7.5,77633.0,2014-12-25,Par.,52100000.0,14700000
566,tt1020558,Centurion,97.0,"Action,Adventure,Drama",6.4,74085.0,2010-02-15,Magn.,124000.0,6700000
568,tt1020773,Certified Copy,106.0,"Drama,Romance",7.3,18210.0,2011-03-11,IFC,1400000.0,4099999
569,tt1020938,Babies,79.0,Documentary,7.1,6672.0,2010-05-07,Focus,7300000.0,2200000
590,tt1023114,The Way Back,133.0,"Adventure,Drama,History",7.3,102126.0,2010-09-03,NM,2700000.0,17600000
594,tt1465490,Joy,75.0,Drama,6.1,233.0,2015-12-25,Fox,56500000.0,44700000
598,tt1024648,Argo,120.0,"Biography,Drama,Thriller",7.7,534683.0,2012-10-12,WB,136000000.0,96300000
614,tt1462041,Dream House,84.0,"Drama,Mystery,Thriller",6.0,59714.0,2011-09-30,Uni.,21300000.0,17200000
652,tt1027718,Wall Street: Money Never Sleeps,133.0,Drama,6.2,93486.0,2010-09-20,Fox,52500000.0,82300000
661,tt1028576,Secretariat,123.0,"Biography,Drama,Family",7.2,24536.0,2010-10-08,BV,59700000.0,537000
723,tt1032751,The Warrior's Way,100.0,"Action,Fantasy,Western",6.3,24271.0,2010-12-03,Rela.,5700000.0,5400000
741,tt1033575,The Descendants,115.0,"Comedy,Drama",7.3,223464.0,2011-11-18,FoxS,82600000.0,94700000
747,tt1605783,Midnight in Paris,94.0,"Comedy,Fantasy,Romance",7.7,356500.0,2011-05-20,SPC,56800000.0,94300000
751,tt1034314,Iron Sky,93.0,"Action,Comedy,Sci-Fi",5.9,87609.0,2012-03-10,EOne,122000.0,8000000
753,tt1034389,The Eagle,114.0,"Action,Adventure,Drama",6.2,61475.0,2011-02-11,Focus,19500000.0,7600000
754,tt1034415,Suspiria,152.0,"Fantasy,Horror,Mystery",6.8,37360.0,2018-10-26,Amazon,2500000.0,5400000
758,tt1921149,Trash,114.0,"Adventure,Crime,Drama",7.2,18690.0,2010-11-03,FCW,17500.0,4800000
786,tt1655460,Wanderlust,98.0,"Comedy,Romance",5.6,69081.0,2012-02-24,Uni.,17500000.0,4200000
791,tt1037705,The Book of Eli,118.0,"Action,Adventure,Drama",6.9,271307.0,2010-01-11,WB,94800000.0,62300000
793,tt1809231,Jackpot,86.0,"Action,Comedy,Crime",6.6,2941.0,2012-07-14,DR,800.0,1100000
820,tt1038919,The Bounty Hunter,110.0,"Action,Comedy,Romance",5.6,112444.0,2010-03-19,Sony,67099999.0,69300000
827,tt1372686,Coriolanus,123.0,"Drama,Thriller,War",6.1,29654.0,2012-01-19,Wein.,757000.0,315000
832,tt1809398,Unbroken,137.0,"Biography,Drama,Sport",7.2,129981.0,2014-12-25,Uni.,115600000.0,47800000
857,tt1041804,The Nutcracker in 3D,110.0,"Action,Family,Fantasy",4.3,3119.0,2010-11-24,Free,195000.0,16000000
909,tt1043726,The Legend of Hercules,99.0,"Action,Adventure,Fantasy",4.2,50352.0,2014-01-10,LG/S,18800000.0,42400000
945,tt1781769,Anna Karenina,129.0,"Drama,Romance",6.6,84668.0,2012-11-16,Focus,12800000.0,56100000
946,tt1680679,Breathing,94.0,Drama,7.0,2619.0,2012-03-29,KL,4600.0,803000
955,tt2380307,Coco,105.0,"Adventure,Animation,Comedy",8.4,277194.0,2017-11-22,BV,209700000.0,597400000
962,tt1045658,Silver Linings Playbook,122.0,"Comedy,Drama,Romance",7.7,621018.0,2012-12-25,Wein.,132100000.0,104300000
1007,tt1599348,Safe House,115.0,"Action,Adventure,Crime",6.8,192655.0,2012-02-10,Uni.,126400000.0,81700000
1010,tt1047540,Parental Guidance,105.0,"Comedy,Family",6.1,23711.0,2012-12-25,Fox,77300000.0,42500000
1011,tt1049402,Howl,84.0,"Biography,Drama,Romance",6.8,12096.0,2010-09-24,Osci.,617000.0,566000
1021,tt1051904,Goosebumps,103.0,"Adventure,Comedy,Family",6.3,72858.0,2015-10-16,Sony,80100000.0,70100000
1024,tt1053424,Repo Men,111.0,"Action,Crime,Sci-Fi",6.3,96144.0,2010-03-19,Uni.,13800000.0,4600000
1025,tt1053810,The Big Year,100.0,Comedy,6.2,39522.0,2011-10-14,Fox,7200000.0,244000
1041,tt1065073,Boyhood,165.0,Drama,7.9,315584.0,2014-07-11,IFC,25400000.0,19100000
1043,tt1067583,Water for Elephants,120.0,"Drama,Romance",6.9,105812.0,2011-04-22,Fox,58700000.0,58400000
1045,tt1067774,Monte Carlo,109.0,"Adventure,Comedy,Family",5.8,38731.0,2011-07-01,Fox,23200000.0,16500000
1053,tt1071875,Ghost Rider: Spirit of Vengeance,96.0,"Action,Fantasy,Thriller",4.3,103608.0,2011-12-10,Sony,51800000.0,80800000
1059,tt1074638,Skyfall,143.0,"Action,Adventure,Thriller",7.8,592221.0,2012-11-09,Sony,304400000.0,804200000
1060,tt1075747,Jonah Hex,81.0,"Action,Drama,Fantasy",4.7,51860.0,2010-06-18,WB,10500000.0,356000
1063,tt1077368,Dark Shadows,113.0,"Comedy,Fantasy,Horror",6.2,229818.0,2012-05-11,WB,79700000.0,165800000
1065,tt1435513,Hysteria,100.0,"Comedy,Romance",6.7,29014.0,2012-05-18,SPC,1800000.0,7700000
1072,tt1083452,Eddie the Eagle,106.0,"Biography,Comedy,Drama",7.4,75331.0,2016-02-26,Fox,15800000.0,30400000
